episode_id,sku,mode,escalated,novelty,uncertainty,severity,priority
787,SKU-0048,regrasp_loop,False,0.806,0.649,0.8,0.5819
698,SKU-0042,regrasp_loop,False,0.659,0.549,0.8,0.4833
1782,SKU-0000,multi_pick,False,0.947,0.439,0.6,0.4159
1686,SKU-0019,grasp_slip,True,0.823,0.144,0.8,0.3869
1078,SKU-0009,grasp_slip,True,0.774,0.181,0.8,0.3822
142,SKU-0009,grasp_slip,True,0.56,0.361,0.8,0.3685
1336,SKU-0015,grasp_slip,False,0.828,0.361,0.6,0.3568
174,SKU-0024,place_miss,False,0.447,0.975,0.5,0.3554
1963,SKU-0053,grasp_slip,False,0.776,0.389,0.6,0.3495
110,SKU-0000,grasp_slip,False,0.756,0.389,0.6,0.3435
168,SKU-0043,grasp_slip,False,0.744,0.389,0.6,0.34
1046,SKU-0054,multi_pick,False,0.544,0.507,0.6,0.3156
1256,SKU-0019,multi_pick,False,0.513,0.535,0.6,0.3144
1512,SKU-0055,grasp_slip,False,0.508,0.521,0.6,0.3088
1392,SKU-0019,grasp_slip,False,0.827,0.181,0.6,0.3025
1557,SKU-0007,multi_pick,False,0.629,0.378,0.6,0.3022
1057,SKU-0023,multi_pick,False,0.626,0.378,0.6,0.3013
876,SKU-0031,grasp_slip,False,0.815,0.181,0.6,0.299
807,SKU-0012,grasp_slip,False,0.812,0.181,0.6,0.2979
1161,SKU-0040,grasp_slip,False,0.836,0.144,0.6,0.2939
669,SKU-0025,multi_pick,False,0.422,0.536,0.6,0.2874
371,SKU-0033,grasp_slip,False,0.807,0.144,0.6,0.2852
1240,SKU-0024,grasp_slip,False,0.786,0.144,0.6,0.2791
1296,SKU-0012,place_miss,False,0.637,0.454,0.5,0.2728
458,SKU-0016,grasp_slip,False,0.761,0.144,0.6,0.2714
1576,SKU-0052,grasp_slip,False,0.715,0.181,0.6,0.269
1300,SKU-0022,grasp_slip,False,0.706,0.181,0.6,0.2661
579,SKU-0043,grasp_slip,False,0.732,0.144,0.6,0.2628
1110,SKU-0046,grasp_slip,False,0.632,0.181,0.6,0.2441
1922,SKU-0022,grasp_slip,False,0.659,0.144,0.6,0.2409
39,SKU-0056,grasp_slip,False,0.6,0.181,0.6,0.2344
1755,SKU-0048,grasp_slip,False,0.592,0.181,0.6,0.232
335,SKU-0028,missed_grasp,False,0.586,0.435,0.4,0.2042
974,SKU-0010,missed_grasp,True,0.558,0.105,0.6,0.1988
1014,SKU-0045,missed_grasp,False,0.606,0.367,0.4,0.1944
1733,SKU-0044,place_miss,False,0.29,0.44,0.5,0.1826
1334,SKU-0038,place_miss,False,0.284,0.44,0.5,0.1808
107,SKU-0007,place_miss,False,0.277,0.44,0.5,0.1792
1705,SKU-0039,missed_grasp,False,0.526,0.367,0.4,0.1786
1414,SKU-0037,missed_grasp,False,0.684,0.133,0.4,0.1634
776,SKU-0044,place_miss,False,0.277,0.368,0.5,0.1613
1353,SKU-0048,missed_grasp,False,0.634,0.105,0.4,0.1477
730,SKU-0019,missed_grasp,False,0.632,0.105,0.4,0.1474
1589,SKU-0048,missed_grasp,False,0.574,0.161,0.4,0.147
1523,SKU-0029,place_miss,False,0.195,0.368,0.5,0.1408
901,SKU-0007,missed_grasp,False,0.566,0.133,0.4,0.1399
1390,SKU-0033,missed_grasp,False,0.572,0.105,0.4,0.1354
1992,SKU-0051,missed_grasp,False,0.533,0.133,0.4,0.1333
736,SKU-0004,missed_grasp,False,0.559,0.105,0.4,0.1328
1999,SKU-0050,missed_grasp,False,0.523,0.133,0.4,0.1312
